Nome,Descrição,Imagem,id_
3-D Man,,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg,B80576B80576
A-Bomb (HAS),"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ",http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg,X93167X93167
A.I.M.,AIM is a terrorist organization bent on destroying the world.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg,F42703F42703
Aaron Stack,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,C40455C40455
Abomination (Emil Blonsky),"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg,Z76580Z76580
Abomination (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,T42921T42921
Absorbing Man,,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg,B62908B62908
Abyss,,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg,Y52855Y52855
Abyss (Age of Apocalypse),,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg,F37100F37100
Adam Destine,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,W24839W24839
Adam Warlock,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg,O89519O89519
Aegis (Trey Rollins),,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.jpg,T23629T23629
Aero (Aero),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,M87214M87214
